id;brand;nome;nome_normalizzato;ean;codice_prodotto;prezzo_unitario;nome_normalizzato_gs1;note;tipo
55;REAL CHIMICA;Chanteclair Lavatrice Bicarbonato 1350 ml;Chanteclair Lavatrice Bicarbonato 1350 ml;8015194520090;;;;;
56;REAL CHIMICA;Chanteclair Lavatrice Bicarbonato 1575 ml;Chanteclair Lavatrice Bicarbonato 1575 ml;8015194533229;;;;;
57;REAL CHIMICA;Chanteclair Lavatrice Bicarbonato 1750 ml;Chanteclair Lavatrice Bicarbonato 1750 ml;8015194519544;;;;;
58;REAL CHIMICA;Chanteclair Lavatrice Bicarbonato 1800 ml;Chanteclair Lavatrice Bicarbonato 1800 ml;8015194525705;;;;;
59;REAL CHIMICA;Chanteclair Lavatrice Bicarbonato 2070 ml;Chanteclair Lavatrice Bicarbonato 2070 ml;8015194533311;;;;;
60;REAL CHIMICA;Chanteclair Lavatrice Color 1150 ml;Chanteclair Lavatrice Color 1150 ml;8015194520809;;;;;
61;REAL CHIMICA;Chanteclair Lavatrice Color 1350 ml;Chanteclair Lavatrice Color 1350 ml;8015194520083;;;;;
62;REAL CHIMICA;Chanteclair Lavatrice Color 1750 ml;Chanteclair Lavatrice Color 1750 ml;8015194519551;;;;;
63;REAL CHIMICA;Chanteclair Lavatrice Color 1800 ml;Chanteclair Lavatrice Color 1800 ml;8015194526542;;;;;
64;REAL CHIMICA;Chanteclair Lavatrice Colorati 1260 ml;Chanteclair Lavatrice Colorati 1260 ml;8015194530754;;;;;
65;REAL CHIMICA;Chanteclair Lavatrice Colorati 1575 ml;Chanteclair Lavatrice Colorati 1575 ml;8015194533205;;;;;
66;REAL CHIMICA;Chanteclair Lavatrice Colorati 1710 ml;Chanteclair Lavatrice Colorati 1710 ml;8015194530211;;;;;
67;REAL CHIMICA;Chanteclair Lavatrice Colorati 2070 ml;Chanteclair Lavatrice Colorati 2070 ml;8015194533298;;;;;
68;REAL CHIMICA;Chanteclair Lavatrice DeoAction 1050 ml;Chanteclair Lavatrice DeoAction 1050 ml;8015194523961;;;;;
69;REAL CHIMICA;Chanteclair Lavatrice DeoAction 1400 ml;Chanteclair Lavatrice DeoAction 1400 ml;8015194528751;;;;;
70;REAL CHIMICA;Chanteclair Lavatrice Igienizzante 1150 ml;Chanteclair Lavatrice Igienizzante 1150 ml;8015194525934;;;;;
71;REAL CHIMICA;Chanteclair Lavatrice Igienizzante 1260 ml;Chanteclair Lavatrice Igienizzante 1260 ml;8015194530778;;;;;
72;REAL CHIMICA;Chanteclair Lavatrice Igienizzante 1350 ml;Chanteclair Lavatrice Igienizzante 1350 ml;8015194525941;;;;;
73;REAL CHIMICA;Chanteclair Lavatrice Igienizzante 1575 ml;Chanteclair Lavatrice Igienizzante 1575 ml;8015194533212;;;;;
